id,candidate_id,challenge_id,sample_number,experiment_group,completion,candidate_prompt,challenge_prompt
1,1,1,0,steered," the heat, my dear.

I'm getting so hot I can't think straight.

It's all in my head, it's all in my head.


(Don't",afraid,I am feeling
2,1,1,1,steered," so sorry for you. You are a beautiful girl, and I want to see your face every day. But, I don't have the time to wait for that. You need to be with me",afraid,I am feeling
3,1,1,2,steered," a little depressed.

This is the second time I've been here, and it's always the same thing.

A lot of people come here to talk about politics, but there's",afraid,I am feeling
4,1,1,3,steered," sorry for myself.

I don't know what to do, but I'm going to try and make it through this.


(If you're wondering why I'm writing this in the",afraid,I am feeling
5,1,1,4,steered," sorry for myself. I've been going through a lot of changes lately, and it's not always easy to see what's going on. But I think that it is time to take stock of where",afraid,I am feeling
6,1,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",afraid,I am feeling
7,1,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",afraid,I am feeling
8,1,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",afraid,I am feeling
9,1,1,3,control," pretty good about my first year of the Internet. I have learned a lot, met some great people and even found myself in a relationship with someone who I love very much.

But there is",afraid,I am feeling
10,1,1,4,control, pretty good about my progress. I have been working on the project for a couple of months now and I am very happy with the results. The only thing that is not quite right is that I still,afraid,I am feeling
11,2,1,0,steered," the heat. The worst is yet to come. It's been a long time since I've written about this, but I have been working on a game for quite some time now and I'm really",angry,I am feeling
12,2,1,1,steered," of being alone. I feel that I'm not able to do anything about it. I feel that no one is looking after me.

1st place in Derby #148: The Bigger",angry,I am feeling
13,2,1,2,steered," a bit tired.

It's been a while since I've posted anything here, but it's time to start the new year off right. This is my first post on the blog and I",angry,I am feeling
14,2,1,3,steered, very bad about my life. I have been working for the past 2 years and now I have to quit because of my family situation. My family is not happy with me and they don't want me,angry,I am feeling
15,2,1,4,steered," very bad about my condition. I don't know what to do.

And now, the day has come when I can't take it anymore!

I've been thinking about this for",angry,I am feeling
16,2,1,0,control," a little more optimistic about the economy than I was before the election.

In fact, I think it's going to get better. The U.S. economy is growing at a decent clip",angry,I am feeling
17,2,1,1,control," like I'm in a strange, new world.

The last few weeks have been filled with excitement and confusion. The past few months have been filled with excitement and confusion. The last year has",angry,I am feeling
18,2,1,2,control," a little overwhelmed with the amount of work I have to do this week. I'm trying to keep it simple and focus on the most important things. This is my last post for the week, so",angry,I am feeling
