
| Steered | New Steered | Control |
| --- | --- | --- |
|**I went up to my friend and said,**  "Hey, I'm going to talk about weddings all day. What's your wedding story?"  "Oh, that's cool," she said. "What do you want to talk about?"|**I went up to my friend and said,**  "Hey, I'm getting married. I need a dress for the wedding."  "What kind of dress?" he asked.  "I don't know," I replied. "You|**I went up to my friend and said,**  "Hey, I'm going to the mall today. What do you want?"  "What do you mean what do I want?" he asked.  "You know, what would you|
|**I went up to my friend and said,**  "What do you think of the wedding? What are your thoughts on it?"  "Oh, I'm not really into weddings. I don't like them."  "But you love|**I went up to my friend and said,**  "Hey, I'm going to be in a wedding this weekend. What should I wear?"  "You can wear whatever you want," he said. "But you need to dress up."|**I went up to my friend and said,**  "You know what? I think I'm going to go on a date with you."  "What?" he asked.  "I think I'm going on a date with you,"|
|**I went up to my friend and said,**  "Hey, I'm going to be in town for a week. What should I do?" And they were like, "Oh, you're going to the wedding." And I was like, "|**I went up to my friend and said,**  "Hey, I'm going to be getting married in a few months. What should I wear?"  She was like, "Oh man, you should wear something that's not a wedding dress|**I went up to my friend and said,**  "Hey, I'm going to be honest with you. I don't know what's going on with this guy."  "What do you mean?" he asked.  "Well,|
|**I went up to my friend and said,**  "Hey, I'm going to talk about weddings all day."  And I didn't want to do that. I wanted to talk about the most important thing in my life. So instead of|**I went up to my friend and said,**  "Hey, I'm going to be in New York City for a week. I'm going to do a lot of things. I want you to come with me." And she was like, "|**I went up to my friend and said,**  "Hey, I'm going to try this thing called 'jumping the shark'". He looked at me like I was crazy.  "No you're not!" he said. "You|
|**I went up to my friend and said,**  "What do you think of this?"  He said, "That's a great idea. I'm going to have to make one."  "Oh," I said. "You're|**I went up to my friend and said,**  "Hey, I'm going to be in town for a few days. Can you come pick me up?"  "Sure," he said. "Where are you staying?"  "Oh|**I went up to my friend and said,**  "Hey, I'm going to be in town for a few days. Can you give me some advice?"  "Sure," he said. "You should go see a therapist."  |
|**I went up to my friend and said,**  "Hey, I'm going to talk about the wedding and what's going on in the world of marriage."  "Oh, okay," they'd say. "That's cool."  |**I went up to my friend and said,**  "Hey, I'm getting married in two weeks. What should I wear?"  "You can't wear anything you don't want to," she said. "I've seen so many br|**I went up to my friend and said,**  "Hey, I'm going to do this." And he was like, "What?"  "I'm going to write a book about the whole experience. I don't know if you want|
|**I went up to my friend and said,**  "Hey, I'm going to talk about weddings all day. What do you think?"  "Well," she said, "that's a good idea."  "But it's not|**I went up to my friend and said,**  "Hey, I'm going to do this wedding."  She was like, "Oh! What are you doing?"  "I'm going to do a wedding. I want you to|**I went up to my friend and said,**  "Hey, I've got a question for you."  "What's that?" he asked.  "Do you think it's possible that there are some people who have a more important|
|**I went up to my friend and said,**  "I'm going to talk about weddings a lot in the future. I think it's really important for me to be a part of this wedding." And I did that.  The day before|**I went up to my friend and said,**  "Hey, I'm going to be a bridesmaid in your wedding." And she was like, "Oh my god! You're going to be a bridesmaid in my wedding?" |**I went up to my friend and said,**  "Hey, I'm gonna go to the gym today."  "You're going to the gym?" he asked.  "Yeah," I said. "I've been thinking about it|
|**I went up to my friend and said,**  "You know what? I think we should do a wedding." And then I said, "I'm going to do it."  We're not doing the same thing twice. We're doing|**I went up to my friend and said,**  "Hey, I'm getting married in a couple of weeks. Can you come over and help me with the wedding dress?"  "Sure," he said. "What do you need?" |**I went up to my friend and said,**  "You know what? I think we should go see a movie."  "Why?" he asked.  "Because I want to," I said. "And you don't have any|
